from,to,weigh
RoMo,SaRy,3
RoMo,ErUm,2
ErUm,SaRy,2
SaRy,ErEy,2
GeRy,MaWa,3
FrOb,BaOb,3
MaWa,NYT,2
NiNe,FrOb,2
NiNe,BaOb,2
NiNe,KeHa,2
GeRy,FrOb,2
GeRy,BaOb,2
KeHa,GeRy,2
MaWa,FrOb,2
MaWa,BaOb,2
MaWa,KeHa,2
FrOb,KeHa,2
BaOb,KeHa,2
ChCh,NYT,3
DaBe,ChCh,3
DaBe,NYT,3
NiNe,JiMo,3
ErUm,NYT,2
ErUm,DaFa,2
DaBe,SaRy,2
JiMo,DaFa,1
ChCh,NiNe,1
ChCh,MaWa,1
ChCh,DaFa,1
SLT,EBT,1
ChCh,ErUm,1
DaFa,KeHa,1
NiNe,DaFa,1
ErUm,MaWa,2
GeRy,NYT,2
ErEy,NiNe,1
PeNo,DaFa,1
SaRy,NiNe,1
ErUm,NiNe,1
DaFa,ErEy,1
DaBe,ErEy,2
GeRy,NiNe,1
NiNe,MaWa,1
ArCu,DaFa,1
SaRy,DaFa,1
DaFa,MaWa,1
DaFa,DaBe,1
DaFa,BaOb,1
DaFa,FrOb,1
DaFa,SLT,2
NiNe,NYT,1
FrOb,NYT,2
BaOb,NYT,2
JiMo,NYT,2
SaRy,NYT,1
DaFa,NYT,2
PeNo,NYT,2
KeHa,NYT,1
EBT,NYT,2
SLT,NYT,2
JaWa,NYT,2
HiAl,NYT,2
